id;status;name_ar;name_en;number_of_installments;installment_interval_days;interest_rate;installment_grace_days;daily_late_percentage;daily_late_fee;max_total_amount;min_total_amount;min_first_installment_amount;creation_fees
1;22358;synergize;application Tuna;50525;11344;96565;719;5011;19352;52366;25723;91353;23599
2;43426;Metrics Berkshire;Inverse expedite;26817;96735;19345;16516;82903;67815;20492;1301;66492;48065
3;3820;orchid;target;891;96078;56429;69031;20865;31723;50171;16154;59512;1512
4;77090;markets;Ford overriding Soft;18850;72185;43971;18959;91923;26229;31175;16245;62594;76460
5;18396;gold Cambridgeshire;People's attitude Keyboard;38687;67597;99484;65149;79008;63868;95156;40735;13671;80208
6;76214;neural Practical;Web Utah;91310;31450;10124;12685;45112;82837;86378;28389;87975;83073
7;80548;methodology Computers;Health EXE;31847;1005;14971;95049;40520;83014;69450;10767;88616;4996
8;70085;withdrawal Armenia Rapid;Kentucky Practical Integration;8056;44637;9511;74690;66175;26556;78752;41751;51885;1756
9;42317;throughput Dollar;payment;96598;89431;40065;25252;34749;87456;62325;21003;47268;85154
10;72075;Bahrain;Connecticut;92047;48491;47895;88695;38530;53746;25982;35993;87633;49768
