id;status;installment_no;installment_amount;installment_date;installment_late_fees;payment_date;payment_type;receipt_no;creation_fees
1;90648;66640;63485;2022-06-27T07:14:16;40786;2022-06-27T00:50:08;92214;complexity Cambridgeshire;6739
2;73444;18453;3464;2022-06-27T09:25:44;42660;2022-06-26T22:14:24;61852;Plains;46723
3;13847;51804;29916;2022-06-26T14:58:39;62625;2022-06-27T09:27:59;32053;array Keyboard;19187
4;53292;20558;27609;2022-06-27T09:47:08;52166;2022-06-26T17:50:40;65302;deposit;65357
5;29650;85674;16769;2022-06-26T17:20:55;67763;2022-06-27T07:50:43;77068;Mali driver Shirt;19733
6;92411;21546;60723;2022-06-26T21:09:13;14416;2022-06-26T16:27:01;59761;International Fort plum;85508
7;74047;20401;8878;2022-06-27T00:29:03;64220;2022-06-27T01:15:34;10273;Senior;34379
8;59011;9816;46974;2022-06-27T14:34:35;61487;2022-06-26T23:22:12;69589;Directives port;15977
9;37847;49506;63245;2022-06-26T20:29:54;90308;2022-06-26T22:57:12;52827;Michigan Intelligent;64448
10;86654;85304;77578;2022-06-27T09:29:31;10455;2022-06-27T04:06:37;64268;Legacy quantify;60875
