id;systemcode;system_name_ar;system_name_en;system_total_fees;status;status_date
1;group;Electronics;Garden index;69107;64523;2022-06-27T07:14:50
2;Account solid Card;payment;Fish Vermont;88758;34355;2022-06-27T08:15:42
3;Clothing Ball frictionless;optical Cheese;Alaska Tennessee;85475;9887;2022-06-26T22:35:51
4;Pizza Christmas;Avon Dynamic utilize;Automotive Seychelles;9403;33004;2022-06-27T13:09:44
5;bypass;Strategist Rhode web-readiness;CSS;39708;43773;2022-06-26T16:40:09
6;Credit generating Avenue;Pennsylvania;withdrawal Timor-Leste knowledge;61784;98447;2022-06-27T06:35:53
7;Fresh Flat Tools;end-to-end;HDD;88420;33735;2022-06-26T22:30:05
8;Borders New Outdoors;bluetooth payment;Salad;47240;13569;2022-06-27T06:18:06
9;Borders deposit American;Cheese Moroccan Pa'anga;override Car Automotive;14851;62411;2022-06-27T07:28:46
10;auxiliary plug-and-play;Auto Tala Emirates;Automotive;56463;7232;2022-06-26T18:33:28
