id;fee_code;fee_name_ar;fee_name_en;fee_amount
1;Botswana;Buckinghamshire needs-based;Tasty tertiary Handmade;99250
2;green;Tuna Central;indexing;6696
3;Forward Response Avon;Account;Dollar up;761
4;programming AGP;deliverables Dynamic Uruguay;up Human;29941
5;Trafficway;benchmark Avon TCP;synthesizing Bedfordshire compressing;31411
6;cross-platform Pizza solution-oriented;iterate compress;matrix;46861
7;Marketing;e-services;system-worthy Intelligent Directives;64911
8;sky;Fresh Northern;deposit;22742
9;Managed compress SDD;JSON Cliff functionalities;Tenge;24075
10;Wooden Markets;Berkshire Frozen Handcrafted;copying Outdoors HDD;32018
