id;fee_code;fee_name_ar;fee_name_en;fee_amount;status;status_date;draft_contract_system_fee
1;Indian back-end;Tennessee Circle Berkshire;plum;41293;4252;2022-06-27T07:49:50;8245
2;revolutionize Phased Concrete;aggregate cyan streamline;deposit;49884;83783;2022-06-27T14:13:36;49170
3;tan;Fantastic Rubber microchip;Steel Manager Riel;58633;63502;2022-06-27T09:10:04;59588
4;synergies Games Practical;access;Extension Unbranded;15082;4506;2022-06-26T20:15:04;12271
5;payment Michigan Credit;productize Bolivia payment;Orchestrator synthesize Cheese;95217;90675;2022-06-27T11:41:03;34030
6;Unbranded Iceland reboot;Wooden;Points;9831;81761;2022-06-26T23:05:27;27019
7;Guinea Bulgaria Music;cultivate array encoding;motivating;93605;31710;2022-06-26T19:47:57;33937
8;conglomeration;experiences payment;connect Small;22503;45407;2022-06-27T02:01:42;7123
9;blue CSS;International Senior Handmade;Borders Highway;21614;65791;2022-06-27T08:21:30;13183
10;Dollar;Utah frame;Maryland;16568;36838;2022-06-26T17:26:44;89551
